"","","","2023","2023"
"","","","Unit","Value"
"Cyprus","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","77.79"
"Cyprus","Food supply quantity (kg/capita/yr)","Meat","kg/cap","77.95"
"Cyprus","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","168.16"
"Cyprus","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","66.3"
"Cyprus","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","96.53"
"Czechia","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","8.94"
"Czechia","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","10.37"
"Czechia","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","78.86"
"Czechia","Food supply quantity (kg/capita/yr)","Meat","kg/cap","82.29"
"Czechia","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","173.75"
"Czechia","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","42.54"
"Czechia","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","115.89"
"Côte d'Ivoire","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","1.99"
"Côte d'Ivoire","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","23.7"
"Côte d'Ivoire","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","62.41"
"Côte d'Ivoire","Food supply quantity (kg/capita/yr)","Meat","kg/cap","12.02"
"Côte d'Ivoire","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","10.05"
"Côte d'Ivoire","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","12.97"
"Côte d'Ivoire","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","31.33"
"Democratic Republic of the Congo","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","0.06"
"Democratic Republic of the Congo","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","3.29"
"Democratic Republic of the Congo","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","51.47"
"Democratic Republic of the Congo","Food supply quantity (kg/capita/yr)","Meat","kg/cap","3.49"
"Democratic Republic of the Congo","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","48.59"
"Democratic Republic of the Congo","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","3.18"
"Democratic Republic of the Congo","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","6.89"
"Denmark","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","13.45"
"Denmark","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","22.56"
"Denmark","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","106.55"
"Denmark","Food supply quantity (kg/capita/yr)","Meat","kg/cap","101.27"
"Denmark","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","496.49"
